side	modId	displayName	version	loader	tier	classes	forgeRefs	neoRefs	mixinConfigs	mixinClasses	hasAT	hasCoremod	nestedJars	sizeKB	file
target	justenoughbreeding	Just Enough Breeding	3.2.1	NEOFORGE	TRIVIAL	78	0	13	0	0	false	false	0	579	justenoughbreeding-neoforge-1.21.1-3.2.1.jar
target	justenoughprofessions	Just Enough Professions (JEP)	4.0.5	NEOFORGE	TRIVIAL	12	0	1	0	0	false	false	0	24	JustEnoughProfessions-neoforge-1.21.1-4.0.5.jar
target	justzoom	Just Zoom	2.1.0	NEOFORGE	HARD	24	0	2	2	6	true	false	0	42	justzoom_neoforge_2.1.0_MC_1.21.1.jar
target	keybindbundles	KeyBind Bundles	1.4.0	NEOFORGE	HARD	44	0	10	1	8	true	false	0	87	keybindbundles-1.4.0.jar
target	keybindspurger	KeybindsPurger	1.4.0	NEOFORGE	HARD	8	0	2	1	4	true	false	0	38	KeybindsPurger-1.4.0-neoforge-1.21.1.jar
target	konkrete	Konkrete	1.9.9	NEOFORGE	HARD	411	0	3	2	13	true	false	0	604	konkrete_neoforge_1.9.9_MC_1.21.jar
target	kubejs	KubeJS	2101.7.2-build.368	NEOFORGE	NIGHTMARE	1085	0	211	1	88	true	false	3	2228	kubejs-neoforge-2101.7.2-build.368.jar
target	kubejstweaks	KubeJS Tweaks	1.0.6	NEOFORGE	NIGHTMARE	117	0	33	3	84	true	false	1	411	kubejstweaks-1.0.6.jar
target	laserbridges	Laser Bridges & Doors	5.3	NEOFORGE	HARD	18	0	3	2	1	false	false	0	195	laserbridges-1.21.1-neoforge-5.3.jar
target	laserio	LaserIO	1.9.11	NEOFORGE	MODERATE	211	0	129	0	0	false	false	0	1274	laserio-1.9.11.jar
target	lionfishapi	lionfishapi	3.1	NEOFORGE	HARD	51	0	34	1	2	true	false	0	89	lionfishapi-3.1.jar
target	lithostitched	Lithostitched	1.7.13	NEOFORGE	NIGHTMARE	339	0	16	3	56	true	false	0	832	lithostitched-1.7.13-neoforge-21.1.jar
